Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2008,Bobby Crosby,Athletics,145,605,7,66,61,7,7.80%,15.90%,0.112,0.275,0.237,0.296,0.349,0.288,74,2.2,-17.1,9.4,1.3,1818
2017,Adeiny Hechavarria,- - -,97,348,8,37,30,4,3.70%,19.30%,0.145,0.304,0.261,0.289,0.406,0.295,83,0.6,-6.9,8,1.3,10459
2014,Wilmer Flores,Mets,78,274,6,28,29,1,4.40%,11.30%,0.127,0.265,0.251,0.286,0.378,0.291,87,0.2,-3.7,7.4,1.3,5827
2012,Pete Kozma,Cardinals,26,82,2,11,14,2,8.50%,23.20%,0.236,0.415,0.333,0.383,0.569,0.396,152,0.9,6,3.6,1.3,2539
1985,Wayne Tolleson,Rangers,123,355,1,45,18,21,5.90%,13.00%,0.068,0.36,0.313,0.353,0.381,0.33,101,-0.7,-0.1,0.6,1.3,1013103
2011,Cliff Pennington,Athletics,148,570,8,57,58,14,7.40%,18.20%,0.105,0.314,0.264,0.319,0.369,0.305,92,-2.3,-7.7,1.2,1.3,3395
1987,Dick Schofield,Angels,134,531,9,52,46,19,7.00%,11.90%,0.104,0.271,0.251,0.305,0.355,0.294,78,2.3,-12.4,7.1,1.3,1011602
1992,Mike Gallego,Yankees,53,201,3,24,14,0,10.00%,10.90%,0.104,0.275,0.254,0.343,0.358,0.326,104,-0.4,0.5,5.2,1.3,1004458
2010,Jhonny Peralta,- - -,148,615,15,60,81,1,8.60%,16.70%,0.143,0.275,0.249,0.311,0.392,0.309,91,-4.3,-11.1,2.2,1.3,1738
2017,Asdrubal Cabrera,Mets,135,540,14,66,59,3,9.30%,15.40%,0.154,0.31,0.28,0.351,0.434,0.338,111,-8.9,-1.4,-3.4,1.3,4962
2003,Cristian Guzman,Twins,143,585,3,78,53,18,5.10%,13.50%,0.097,0.307,0.268,0.311,0.365,0.298,77,5.7,-11.1,3.6,1.3,728
2014,Ruben Tejada,Mets,119,419,5,30,34,1,11.90%,17.40%,0.073,0.283,0.237,0.342,0.31,0.292,88,-3.3,-8.9,7.9,1.3,5519
2014,Elvis Andrus,Rangers,157,685,2,72,41,27,6.70%,14.00%,0.069,0.305,0.263,0.314,0.333,0.291,80,2.4,-12.7,2.1,1.3,8709
1996,Shawon Dunston,Giants,82,307,5,27,25,8,4.20%,13.00%,0.108,0.333,0.3,0.331,0.408,0.326,98,1.5,0.8,2.9,1.2,1401
2011,Ramon Santiago,Tigers,101,294,5,29,30,0,5.80%,12.90%,0.124,0.283,0.26,0.311,0.384,0.306,88,1.2,-3,5.1,1.2,1417
1999,Mike Benjamin,Pirates,110,404,1,42,37,10,5.00%,22.30%,0.117,0.321,0.247,0.288,0.364,0.283,59,1.6,-21,19.7,1.2,981
2017,Johan Camargo,Braves,82,256,4,30,27,0,4.70%,19.90%,0.154,0.364,0.299,0.331,0.452,0.33,102,0.5,1,3,1.2,14950
1985,Mariano Duncan,Dodgers,142,620,6,74,39,38,6.10%,18.20%,0.096,0.293,0.244,0.293,0.34,0.283,80,4.2,-9.8,1.1,1.2,1003554
1985,Bill Almon,Pirates,88,274,6,33,29,10,8.00%,22.30%,0.143,0.333,0.27,0.33,0.414,0.331,109,-0.9,1.8,1,1.2,1000174
1986,Dickie Thon,Astros,106,309,3,24,21,6,9.40%,15.90%,0.086,0.291,0.248,0.318,0.335,0.292,84,-0.8,-6.4,8.3,1.2,1013033
1998,Orlando Cabrera,Expos,79,285,3,44,22,6,6.30%,9.50%,0.134,0.302,0.28,0.325,0.414,0.323,92,0.3,-2.4,5.8,1.2,766
1994,Mike Benjamin,Giants,37,75,1,9,9,5,6.70%,21.30%,0.161,0.333,0.258,0.343,0.419,0.334,102,1,1.2,8.6,1.2,981
1987,Bob Meacham,Yankees,77,232,5,28,21,6,8.20%,14.20%,0.138,0.301,0.271,0.349,0.409,0.338,105,-1,0.5,3.9,1.2,1008701
1995,Craig Grebeck,White Sox,53,182,1,19,18,0,11.50%,12.60%,0.097,0.3,0.26,0.36,0.357,0.331,98,0,-0.6,6.6,1.2,1004982
2010,Jason Bartlett,Rays,135,532,4,71,47,11,8.50%,15.60%,0.096,0.299,0.254,0.324,0.35,0.304,91,4,-1.9,-4.6,1.2,8219
1994,Greg Gagne,Royals,107,409,7,39,51,10,6.60%,19.30%,0.133,0.31,0.259,0.314,0.392,0.313,81,-5.5,-15.6,13.7,1.2,1004427
2014,Zack Cozart,Reds,147,543,4,48,38,7,4.60%,14.50%,0.079,0.255,0.221,0.268,0.3,0.254,56,3,-23.8,18.7,1.2,2616
1999,Edgar Renteria,Cardinals,154,653,11,92,63,37,8.10%,12.60%,0.125,0.301,0.275,0.334,0.4,0.325,87,3.8,-8,-0.2,1.2,1178
2001,Neifi Perez,- - -,136,623,8,83,59,9,4.20%,10.90%,0.117,0.303,0.279,0.309,0.396,0.305,66,-0.8,-27.9,19,1.2,620
